"t","m","merr"
2450540.65796,16.412,0.013
2450541.5515,16.7,0.013
2450541.60856,16.545,0.012
2450542.54062,16.399,0.011
2450542.59248,16.411,0.011
2450542.63995,16.408,0.012
2450543.57888,16.515,0.014
2450543.65996,16.441,0.013
2450544.5316,16.401,0.012
2450544.5759,16.4,0.012
2450544.62019,16.413,0.013
2450544.66543,16.428,0.013
2450551.52136,16.594,0.012
2450552.53282,16.409,0.012
2450553.53817,16.495,0.012
2450554.51487,16.421,0.013
2450554.60033,16.433,0.016
2450555.52125,16.488,0.018
2450557.62179,16.412,0.015
2450558.56855,16.447,0.019
2450559.55239,16.433,0.013
2450560.53041,16.417,0.016
2450561.53044,16.428,0.013
2450562.53198,16.433,0.017
2450564.5332,16.435,0.014
2450565.53896,16.424,0.012
2450566.53295,16.441,0.011
2450567.53403,16.424,0.011
2450568.51929,16.455,0.014
2450569.52908,16.409,0.012
2450571.51492,16.422,0.012
2450572.54539,16.536,0.013
2450574.50747,16.487,0.011
2450575.50606,16.429,0.015
2450577.515,16.418,0.012
2450578.52858,16.609,0.013
2450582.51073,16.617,0.015
2450583.51347,16.391,0.014
2450672.89897,16.382,0.01
2450689.88297,16.561,0.012
2450699.88421,16.449,0.011
2450701.8498,16.461,0.013
2450704.89235,16.442,0.012
2450706.87374,16.438,0.014
2450714.84958,16.479,0.011
2450716.80577,16.435,0.01
2450720.86209,16.623,0.013
2450728.80096,16.62,0.011
2450729.801,16.417,0.013
2450730.75654,16.515,0.013
2450733.84754,16.401,0.013
2450741.85081,16.394,0.011
2450745.80563,16.402,0.011
2450747.854,16.42,0.011
2450753.80785,16.425,0.011
2450766.81653,16.419,0.014
2450772.83568,16.387,0.011
2450775.8174,16.662,0.011
2450779.83606,16.694,0.012
2450787.81244,16.678,0.011
2450789.79646,16.715,0.013
2450790.80692,16.41,0.011
2450795.76456,16.686,0.013
2450796.83646,16.418,0.012
2450797.76426,16.638,0.012
2450798.73619,16.388,0.011
2450805.82107,16.43,0.015
2450816.79207,16.464,0.011
2450817.71132,16.442,0.011
2450819.81099,16.428,0.013
2450822.82519,16.678,0.011
2450824.85444,16.678,0.012
2450826.67792,16.435,0.011
2450829.78039,16.409,0.013
2450832.70476,16.512,0.011
2450836.80355,16.677,0.013
2450840.68292,16.603,0.015
2450843.68336,16.398,0.01
2450850.65696,16.701,0.012
2450854.69477,16.649,0.013
2450855.66167,16.403,0.015
2450856.62799,16.668,0.016
2450858.60053,16.711,0.014
2450875.57587,16.412,0.01
2450880.56142,16.508,0.012
2450887.57481,16.423,0.012
2450895.54915,16.471,0.013
2450898.55605,16.415,0.009
2450918.54428,16.414,0.017
2450922.62337,16.425,0.012
2450928.54929,16.426,0.014
2450933.58098,16.435,0.013
2450947.52063,16.437,0.015
2450952.51449,16.52,0.012
2451045.90914,16.636,0.014
2451051.88937,16.706,0.014
2451053.90483,16.67,0.011
2451054.92051,16.379,0.012
2451055.89301,16.687,0.016
2451059.90578,16.627,0.013
2451061.91552,16.582,0.016
2451069.86299,16.553,0.011
2451087.83511,16.437,0.012
2451091.83766,16.388,0.013
2451102.82003,16.594,0.009
2451106.87507,16.698,0.012
2451107.80284,16.382,0.01
2451113.81561,16.395,0.01
2451119.82035,16.389,0.011
2451128.82857,16.459,0.011
2451131.71416,16.41,0.013
2451132.7662,16.54,0.012
2451136.79948,16.445,0.01
2451138.8259,16.432,0.01
2451142.6906,16.561,0.01
2451144.75952,16.453,0.01
2451151.78539,16.529,0.011
2451155.78467,16.623,0.012
2451158.78217,16.401,0.011
2451161.76007,16.696,0.01
2451165.78082,16.724,0.012
2451169.7757,16.709,0.013
2451174.74949,16.398,0.01
2451179.76638,16.55,0.012
2451181.83845,16.412,0.012
2451186.79283,16.448,0.009
2451187.85408,16.426,0.01
2451192.69996,16.422,0.01
2451196.73288,16.445,0.013
2451201.74169,16.438,0.013
2451203.76152,16.412,0.011
2451207.61839,16.445,0.013
